File Name,Labels
fmfh2ce2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
fmfh2cc2,"['correct', 'stutter', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
mjsd3ax2,"['correct', 'correct', 'stutter', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
mjsd3bi2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
mjsd3an2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
mjsd3eb2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
mjsd3df2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
mjsd3cg2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
mjsd3de2,"['stutter', 'correct', 'correct', 'correct', 'stutter', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'stutter']"
mjsd3bo2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
mjsd3cp2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
mjsd3dp2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
mjsd3da2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
mjsd3ce2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'stutter', 'correct', 'correct', 'correct', 'correct']"
mjsd3az2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'stutter', 'correct', 'correct', 'correct', 'correct']"
mjsd3bs2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'stutter', 'correct', 'correct']"
mjsd3ae2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
mjsd3ch2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'stutter']"
mjsd3am2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
mjsd3cc2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'stutter', 'correct']"
mjsd3cy2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
mjsd3ah2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
mjsd3bt2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'stutter']"
mjsd3ds2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'stutter', 'correct', 'correct', 'correct', 'correct']"
mjsd3bx2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
mjsd3ay2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'skip', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
mjsd3av2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'stutter', 'correct', 'correct']"
mjsd3cb2,"['correct', 'skip', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
mjsd3db2,"['correct', 'correct', 'correct', 'skip', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
mjsd3bd2,"['correct', 'correct', 'correct', 'correct', 'correct', 'stutter', 'correct', 'correct', 'correct']"
mjsd3ak2,"['correct', 'correct', 'correct', 'correct', 'stutter', 'correct', 'correct', 'correct', 'correct']"
mjsd3ab2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
mjsd3dd2,"['correct', 'correct', 'correct', 'stutter', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
mjsd3cd2,"['correct', 'correct', 'correct', 'stutter', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
mjsd3dy2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
mjsd3bq2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'stutter', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
mjsd3bg2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
mjsd3dj2,"['correct', 'correct', 'correct', 'correct', 'stutter']"
mjsd3be2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
mjsd3dm2,"['correct', 'correct', 'correct', 'correct', 'stutter', 'correct', 'stutter', 'correct']"
mjsd3ca2,"['correct', 'correct', 'stutter', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'stutter', 'correct']"
mjsd3du2,"['stutter', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
mjsd3ad2,"['correct', 'correct', 'stutter', 'stutter', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'stutter', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
mjsd3bb2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
mjsd3ck2,"['correct', 'correct', 'correct', 'correct', 'stutter', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
mjsd3cw2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'stutter', 'correct', 'correct', 'correct', 'correct', 'correct']"
mjsd3cr2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
mjsd3au1,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
mjsd3ap2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
mjsd3aq2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
mjsd3bc2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
mjsd3dz2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'stutter']"
mjsd3ao2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
mjsd3aj2,"['correct', 'correct', 'correct', 'stutter', 'correct', 'correct', 'correct', 'correct']"
mjsd3br2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
mjsd3bp1,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
mjsd3ar2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
mjsd3aa2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'stutter', 'correct']"
mjsd3bm2,"['correct', 'correct', 'correct', 'correct', 'stutter', 'correct', 'correct', 'correct']"
mjsd3bn2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
mjsd3ea2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
mjsd3bz2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
mjsd3dq2,"['correct', 'stutter', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'stutter', 'correct', 'correct', 'correct', 'correct']"
mjsd3ag1,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
mjsd3ai2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
mjsd3cx2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
mjsd3dh2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
mjsd3dt2,"['stutter', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
mjsd3af2,"['correct', 'correct', 'correct', 'correct', 'correct', 'stutter', 'correct', 'correct']"
mjsd3dr1,"['correct', 'correct', 'correct', 'correct', 'correct']"
mjsd3cf2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
mjsd3cm2,"['correct', 'correct', 'correct', 'correct', 'correct', 'stutter', 'correct', 'correct', 'correct']"
mjsd3bu2,"['correct', 'correct', 'correct', 'correct', 'stutter', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
mjsd3cq2,"['correct', 'skip', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'stutter', 'correct', 'stutter', 'correct']"
mjsd3di2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
mjsd3aw2,"['correct', 'stutter', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
mjsd3bj2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
mjsd3bk2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
mjsd3cj2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
mjsd3dx2,"['correct', 'correct', 'correct', 'correct', 'stutter', 'stutter', 'correct', 'correct', 'correct']"
mjsd3cv2,"['correct', 'correct', 'correct', 'stutter', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
mjsd3dk2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
mjsd3dv2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'stutter', 'correct']"
mjsd3cz2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
mjsd3dw2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
mjsd3cn2,"['stutter', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'stutter', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
mjsd3cs2,"['stutter', 'correct', 'correct', 'correct', 'correct', 'correct', 'stutter', 'correct', 'correct', 'correct']"
mjsd3as2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
mjsd3bw2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'stutter']"
mjsd3do2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'stutter', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
mjsd3ac2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
mjsd3ba2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'stutter']"
mjsd3dl2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
mjsd3dg1,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
mjsd3at1,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
mjsd3cl2,"['correct', 'stutter', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
mjsd3dc2,"['correct', 'correct', 'correct', 'correct', 'stutter', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
mjsd3bf2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
mjsd3bh1,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
mjsd3bv2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
mjsd3co2,"['correct', 'correct', 'correct', 'stutter', 'correct', 'correct', 'correct', 'stutter', 'correct', 'correct']"
mjsd3ci2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
mjsd3dn2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'stutter', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
mjsd3by2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
mjsd3cu2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'stutter']"
mjsd3al2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'stutter', 'correct']"
mjsd3bl2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
mjsd3ct2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
fsqh1co2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'stutter', 'correct', 'correct']"
fsqh1ai1,"['correct', 'correct', 'correct', 'correct']"
fsqh1ar1,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
fsqh1ae2,"['correct', 'correct', 'correct', 'correct', 'stutter', 'correct']"
fsqh1ab2,"['stutter', 'correct', 'correct', 'correct', 'stutter']"
fsqh1ah1,"['correct', 'correct']"
fsqh1cw1,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
fsqh1ay2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
fsqh1cx1,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
fsqh1as2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'stutter', 'correct']"
fsqh1ch2,"['stutter', 'stutter', 'correct', 'correct', 'correct', 'correct', 'correct']"
fsqh1cs2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'stutter', 'correct', 'correct', 'correct', 'stutter', 'correct']"
fsqh1bj2,"['correct', 'correct', 'correct', 'stutter', 'correct']"
fsqh1aq2,"['correct', 'correct', 'correct', 'correct', 'correct']"
fsqh1at2,"['correct', 'correct', 'stutter', 'correct', 'correct', 'correct']"
fsqh1br1,"['correct', 'correct', 'correct', 'correct', 'correct']"
fsqh1cj2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
fsqh1ac2,"['correct', 'correct', 'stutter', 'correct', 'correct']"
fsqh1az2,"['stutter', 'correct', 'correct', 'correct', 'correct']"
fsqh1bq1,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
fsqh1bi1,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
fsqh1cc2,"['correct', 'stutter', 'correct', 'correct', 'correct', 'correct', 'correct']"
fsqh1cg2,"['correct', 'correct', 'stutter', 'correct', 'correct', 'correct', 'correct', 'correct']"
fsqh1av2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'stutter']"
fsqh1af1,"['correct', 'correct', 'correct', 'correct']"
fsqh1bg2,"['correct', 'correct', 'correct', 'stutter', 'correct', 'correct', 'correct', 'correct']"
fsqh1ag1,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
fsqh1cf1,"['correct', 'correct', 'correct', 'correct', 'correct']"
fsqh1cu2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'stutter', 'correct', 'correct', 'correct', 'correct', 'correct']"
fsqh1bf2,"['correct', 'correct', 'correct', 'correct', 'correct', 'skip', 'skip', 'skip', 'correct', 'correct', 'correct']"
fsqh1ct1,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
fsqh1aa2,"['correct', 'correct', 'correct', 'correct', 'stutter', 'correct', 'correct']"
fsqh1cv1,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
fsqh1bk2,"['stutter', 'stutter', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
fsqh1cn2,"['correct', 'correct', 'stutter', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'incorrect', 'correct', 'correct']"
fsqh1bt2,"['correct', 'stutter', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
fsqh1ce2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
fsqh1aw1,"['correct', 'correct', 'correct', 'correct', 'correct']"
fsqh1ci2,"['correct', 'correct', 'correct', 'correct', 'correct']"
fsqh1cd1,"['correct', 'correct', 'correct', 'correct', 'correct']"
fsqh1cp2,"['stutter', 'correct', 'stutter', 'stutter', 'stutter', 'stutter', 'correct']"
fsqh1aj2,"['correct', 'correct', 'correct', 'correct', 'stutter']"
fsqh1ak2,"['correct', 'correct', 'correct', 'correct', 'stutter', 'correct']"
fsqh1bo2,"['stutter', 'correct', 'correct', 'stutter', 'stutter']"
fsqh1ba1,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
fsqh1al1,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
fsqh1bd1,"['correct', 'correct', 'correct', 'correct', 'correct']"
fsqh1bl2,"['correct', 'stutter', 'correct', 'correct']"
fsqh1ck2,"['correct', 'correct', 'stutter', 'correct', 'correct', 'correct', 'correct', 'correct']"
fsqh1bc2,"['correct', 'stutter', 'correct', 'correct', 'correct', 'correct', 'correct']"
fsqh1am2,"['stutter', 'correct', 'correct', 'correct', 'correct', 'correct']"
fsqh1be2,"['stutter', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
fsqh1ad2,"['correct', 'correct', 'stutter', 'correct']"
fsqh1by2,"['stutter', 'correct', 'correct', 'correct', 'correct']"
fsqh1bn2,"['correct', 'correct', 'correct', 'stutter', 'correct', 'correct', 'correct', 'correct', 'stutter', 'correct']"
fsqh1cq2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
fsqh1cl2,"['correct', 'stutter', 'correct', 'correct', 'correct', 'stutter', 'incorrect', 'correct', 'correct', 'correct', 'correct']"
fsqh1bu2,"['correct', 'stutter', 'correct', 'correct', 'incorrect', 'correct', 'correct', 'correct', 'correct', 'correct']"
fsqh1bh2,"['correct', 'correct', 'correct', 'stutter', 'correct', 'stutter', 'correct', 'stutter']"
fsqh1bm2,"['correct', 'correct', 'correct', 'stutter', 'correct', 'correct', 'correct', 'correct', 'correct', 'stutter', 'correct']"
fsqh1cr2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'stutter']"
fsqh1ca2,"['correct', 'correct', 'stutter', 'stutter', 'correct', 'correct', 'correct']"
fsqh1cb2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
fsqh1bp2,"['correct', 'correct', 'stutter', 'correct', 'correct', 'correct']"
fsqh1ax2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
